high,low,volume,close,open,time
260.58,254.42,27122773.0,257.38,259.4,1623816000
261.75,256.01,27390615.0,260.9,256.065,1623902400
262.3,258.75,37034621.0,259.43,259.63,1623988800
263.52,257.92,26587782.0,262.63,259.82,1624248000
265.79,262.4,24604179.0,265.51,262.72,1624334400
266.83,264.43,19440468.0,265.275,265.74,1624420800
267.85,265.47,21406884.0,266.69,266.16,1624507200
267.25,264.76,25507919.0,265.02,266.23,1624593600
268.9,265.91,19554516.0,268.72,266.185,1624852800
271.65,267.98,19915017.0,271.4,268.865,1624939200
271.3598,269.6043,21611803.0,270.9,270.69,1625025600
271.84,269.6,16679525.0,271.6,269.61,1625112000
278.0,272.5,26438441.0,277.65,272.82,1625198400
279.3698,274.3,31534574.0,277.66,278.03,1625544000
280.6945,277.15,23194301.0,279.93,279.4,1625630400
278.73,274.87,24532463.0,277.42,276.9,1625716800
278.05,275.32,23847869.0,277.94,275.72,1625803200
279.77,276.58,18913142.0,277.32,279.157,1626062400
282.8477,277.39,25996021.0,280.98,277.52,1626148800
283.66,280.55,23012364.0,282.51,282.345,1626235200
282.51,279.83,22520798.0,281.03,282.0,1626321600
284.1,279.46,26124971.0,280.75,282.07,1626408000
280.37,274.45,32703227.0,277.01,278.9335,1626667200
280.97,276.26,26109705.0,279.32,278.03,1626753600
281.52,277.29,24261413.0,281.4,278.905,1626840000
286.42,283.42,23359060.0,286.14,283.84,1626926400
289.99,286.51,22721911.0,289.67,287.37,1627012800
289.69,286.642,23149644.0,289.05,289.0,1627272000
289.575,282.95,33578987.0,286.54,289.43,1627358400
290.15,283.8303,33478091.0,286.22,288.99,1627444800
288.618,286.08,18119559.0,286.5,286.235,1627531200
286.66,283.91,20865691.0,284.91,285.17,1627617600
286.775,283.74,16191655.0,284.82,286.36,1627876800
287.23,284.0,17772194.0,287.12,285.42,1627963200
287.5883,284.65,16151049.0,286.51,286.22,1628049600
289.63,286.1,13882357.0,289.52,286.88,1628136000
289.5,287.6238,16574956.0,289.46,288.505,1628222400
291.55,287.81,16090135.0,288.33,289.75,1628481600
289.25,285.2,18596319.0,286.44,288.8,1628568000
288.66,285.86,13918445.0,286.95,287.21,1628654400
289.97,286.34,14536552.0,289.81,286.63,1628740800
292.9,289.3,18232803.0,292.85,289.48,1628827200
294.82,290.02,22483593.0,294.6,293.19,1629086400
293.43,291.08,20005205.0,293.08,292.39,1629172800
294.82,290.27,21787646.0,290.73,292.04,1629259200
297.47,288.64,29742574.0,296.77,288.6935,1629345600
305.84,298.06,40754344.0,304.36,299.72,1629432000
305.4,301.85,22880460.0,304.65,303.245,1629691200
305.65,302.0035,18170987.0,302.62,305.02,1629777600
304.59,300.42,19994340.0,302.01,304.3,1629864000
302.429,298.96,17610301.0,299.09,300.99,1629950400
300.87,296.83,22529754.0,299.72,299.01,1630036800
304.22,301.06,16330272.0,303.59,301.115,1630296000
304.5,301.5,26215857.0,301.88,304.42,1630382400
305.19,301.49,18945441.0,301.83,302.865,1630468800
303.3602,300.18,16264400.0,301.15,302.2,1630555200
302.6,300.26,14746672.0,301.14,300.99,1630641600
301.09,298.2,17164968.0,300.18,301.005,1630987200
300.61,297.4651,14946536.0,300.21,299.78,1631073600
302.14,297.0,19909116.0,297.25,300.82,1631160000
299.92,295.38,19534389.0,295.71,298.415,1631246400
298.54,294.08,23580262.0,296.99,297.55,1631505600
301.39,298.1,21790699.0,299.79,299.56,1631592000
305.32,301.82,28301485.0,304.82,303.26,1631678400
305.31,300.76,19534824.0,305.22,303.76,1631764800
304.5,299.53,41326596.0,299.87,304.17,1631851200
298.72,289.52,38133563.0,294.3,296.33,1632110400
297.54,294.07,22346307.0,294.8,295.69,1632196800
300.22,294.51,26473244.0,298.58,296.725,1632283200
300.9,297.5339,18508851.0,299.56,298.845,1632369600
299.8,296.93,14955476.0,299.35,298.23,1632456000
296.47,292.9449,23522341.0,294.17,296.14,1632715200
290.78,282.75,43004278.0,283.52,289.795,1632801600
286.77,283.01,26152384.0,284.0,285.1,1632888000
287.83,281.62,31899127.0,281.92,285.71,1632974400
289.98,281.29,29993741.0,289.1,282.1217,1633060800
287.75,280.25,31143127.0,283.11,287.4,1633320000
290.398,284.0464,24898775.0,288.76,284.0464,1633406400
293.63,285.5093,27675469.0,293.11,285.78,1633492800
296.64,293.92,20369507.0,294.85,295.175,1633579200
296.6409,293.76,17604857.0,294.85,296.219,1633665600
297.97,292.745,19204291.0,294.23,292.92,1633924800
295.44,292.35,17795897.0,292.88,295.34,1634011200
297.28,293.49,23156316.0,296.31,294.91,1634097600
303.27,297.83,27161385.0,302.75,299.21,1634184000
304.45,300.5191,25161140.0,304.21,302.34,1634270400
308.21,302.69,22304445.0,307.29,303.57,1634529600
309.3,307.22,17474741.0,308.23,308.255,1634616000
309.7,306.11,16306830.0,307.41,309.21,1634702400
311.02,306.36,16720714.0,310.76,307.1702,1634788800
311.09,307.8,17067236.0,309.16,310.4,1634875200
309.4,306.46,17321240.0,308.13,309.36,1635134400
312.395,308.5967,27805630.0,310.11,311.0,1635220800
326.0973,316.0,52239525.0,323.17,316.0,1635307200
324.87,321.3601,26056009.0,324.35,324.325,1635393600
332.0,323.9,34465818.0,331.62,324.13,1635480000
331.49,326.37,26893710.0,329.37,331.355,1635739200
333.45,330.0,26442139.0,333.13,330.31,1635825600
334.9,330.65,21468570.0,334.0,333.9,1635912000
336.54,329.51,23990593.0,336.44,332.89,1635998400
338.79,334.4217,22565041.0,336.06,338.51,1636084800
337.65,334.44,20878295.0,336.99,337.29,1636347600
338.72,334.53,21269244.0,335.95,337.1071,1636434000
334.6303,329.92,25430731.0,330.8,334.57,1636520400
333.7746,330.51,16848919.0,332.43,331.25,1636606800
337.23,333.79,23817366.0,336.72,333.92,1636693200
337.88,334.034,16695727.0,336.07,337.54,1636952400
340.67,335.51,20881157.0,339.51,335.68,1637038800
342.19,338.0,19034946.0,339.12,338.94,1637125200
342.45,337.12,22441042.0,341.27,338.18,1637211600
345.1,342.2,21943971.0,343.11,342.64,1637298000
349.67,339.55,31312161.0,339.83,344.54,1637557200
339.45,333.56,30379724.0,337.68,337.05,1637643600
338.16,333.911,21590664.0,337.91,336.28,1637730000
337.93,328.12,24182371.0,329.68,334.35,1637902800
339.03,334.74,28543176.0,336.63,334.94,1638162000
337.78,328.99,42784655.0,330.59,335.32,1638248400
339.28,329.39,33325892.0,330.08,335.13,1638334800
333.49,327.8028,30659102.0,329.49,330.3,1638421200
332.7,318.03,41716409.0,323.01,331.99,1638507600
327.45,319.23,30013822.0,326.19,323.95,1638766800
335.8,330.1,30979179.0,334.92,331.64,1638853200
335.5,330.8,24735124.0,334.97,335.31,1638939600
336.489,332.12,22104570.0,333.1,334.41,1639026000
343.0,334.79,38045760.0,342.54,334.98,1639112400
343.79,339.08,28540616.0,339.4,340.68,1639371600
334.64,324.11,44399726.0,328.34,333.22,1639458000
335.19,324.5,35311849.0,334.65,328.61,1639544400
336.76,323.02,34967989.0,324.9,335.71,1639630800
324.92,317.25,47939704.0,323.8,320.88,1639717200
322.8,317.57,27930823.0,319.91,320.05,1639976400
327.73,319.8,24709057.0,327.29,323.29,1640062800
333.605,325.75,24928427.0,333.2,328.3,1640149200
336.39,332.73,19603969.0,334.69,332.75,1640235600
342.48,335.43,19926158.0,342.45,335.46,1640581200
343.81,340.32,15638116.0,341.25,343.15,1640667600
344.3,339.68,15031442.0,341.95,341.3,1640754000
343.13,338.82,15992647.0,339.32,341.91,1640840400
339.355,335.85,17993656.0,336.32,338.51,1640926800
338.0,329.78,28899988.0,334.75,335.35,1641186000
